truck 0.68 (179, 2) (207, 21)
Found 9 boxes for img
Found 9 boxes for img
bus 0.90 (101, 3) (150, 52)
bus 0.50 (11, 17) (165, 236)
train 0.94 (11, 9) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (103, 1) (150, 52)
bus 0.50 (14, 13) (165, 236)
train 0.94 (13, 5) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (149, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (103, -1) (150, 52)
bus 0.50 (17, 9) (165, 236)
train 0.94 (17, 1) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (164, 1) (183, 14)
bus 0.90 (103, 1) (150, 52)
bus 0.50 (20, 5) (165, 236)
train 0.94 (19, -1) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (149, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (163, 1) (183, 14)
bus 0.90 (103, -1) (150, 52)
bus 0.50 (23, 1) (165, 236)
train 0.94 (23, -5) (162, 226)
truck 0.52 (189, 3) (222, 21)
car 0.74 (150, 5) (165, 18)
car 0.40 (189, 3) (222, 21)
car 0.39 (162, 1) (183, 14)
bus 0.90 (103, 1) (150, 52)
bus 0.50 (26, -1) (165, 236)
train 0.94 (25, -7) (162, 226)
truck 0.52 (189, 3) (222, 21)
Found 7 boxes for img
Found 9 boxes for img
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
train 0.47 (67, 18) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
train 0.47 (66, 17) (135, 113)
truck 0.43 (201, 4) (237, 23)
car 0.93 (151, 11) (167, 27)
car 0.87 (166, 2) (182, 19)
car 0.86 (132, 0) (153, 10)
car 0.59 (202, 7) (236, 24)
car 0.52 (101, 0) (123, 14)
car 0.30 (152, 1) (168, 13)
bus 1.00 (67, 19) (136, 110)
